region_name,bal_2019_year,bal_2020_year
Львівська область,155.7727272727272727,142.6500000000000000
Луганська область,125.0000000000000000,110.2500000000000000
Сумська область,132.3333333333333333,147.9090909090909091
Херсонська область,138.0000000000000000,138.6666666666666667
Полтавська область,138.5000000000000000,136.1333333333333333
Чернівецька область,133.4000000000000000,154.1666666666666667
Вінницька область,143.6315789473684211,142.4500000000000000
Кіровоградська область,143.5000000000000000,138.5000000000000000
Миколаївська область,138.2222222222222222,136.0000000000000000
Житомирська область,140.5000000000000000,127.1818181818181818
Дніпропетровська область,143.8260869565217391,137.3235294117647059
м.Київ,148.6060606060606061,145.1891891891891892
Волинська область,149.7500000000000000,148.9230769230769231
Київська область,123.0000000000000000,135.0588235294117647
Хмельницька область,127.8750000000000000,147.8000000000000000
Тернопільська область,142.6000000000000000,135.3000000000000000
Донецька область,134.3333333333333333,130.3333333333333333
Запорізька область,139.8000000000000000,126.8421052631578947
Черкаська область,132.8571428571428571,130.1428571428571429
Одеська область,130.1481481481481481,134.2068965517241379
Рівненська область,133.0000000000000000,133.6153846153846154
Закарпатська область,131.6000000000000000,138.1428571428571429
Харківська область,143.1111111111111111,140.9285714285714286
Чернігівська область,130.8888888888888889,141.4166666666666667
Івано-Франківська область,145.8333333333333333,157.0000000000000000
